Time,package-0,package-1,dram-0,dram-1
0.5257184505462646,29006884,21987554,3380872,1767594
0.5293681621551514,29226183,21914373,3399936,1758919
0.5284872055053711,29192980,21985051,3372150,1755736
0.5298819541931152,29294297,22039861,3409406,1762759
0.5309667587280273,29249742,22137212,3415297,1785494
0.5291671752929688,29187852,21963689,3410324,1760311
0.528306245803833,29066576,21969121,3396080,1755017
0.5272786617279053,29058946,22000920,3396524,1769598
0.5279076099395752,29002367,22023869,3382126,1752354
0.5278418064117432,29086412,21972295,3397763,1755812
0.5282211303710938,29179246,22015874,3394351,1762316
0.5270636081695557,29172899,22035588,3413568,1778563
0.5286104679107666,29115038,22013005,3408060,1752936
0.5270993709564209,29118639,22116825,3401664,1779879
0.5287356376647949,29120042,22064397,3401282,1764732
0.5272643566131592,29047595,21914616,3395177,1749999
0.5332369804382324,29384752,22251347,3430612,1777355
0.5260968208312988,28998339,21903875,3382173,1744476
0.5295693874359131,29303514,22102666,3406499,1759025
0.5290470123291016,29132982,22025639,3401052,1760755
0.5303401947021484,29454148,22332096,3420483,1793160
0.5258915424346924,29119921,21976933,3383197,1765375
0.5301501750946045,29267137,22071355,3397396,1766094
0.527519702911377,29057848,22015203,3399568,1751161
0.5281875133514404,29181017,22059880,3385767,1754466
0.5273981094360352,29207566,22049626,3395621,1776192
0.5291962623596191,29229296,22129277,3394611,1770531
0.5269384384155273,29148607,22134404,3391903,1775702
0.5306525230407715,29360459,22240544,3420346,1774356
0.5289688110351562,30362349,22147831,3422594,1802753
