Time,package-0,package-1,dram-0,dram-1
0.0009438991546630859,56397,39795,5539,3259
0.0009210109710693359,50964,39124,5508,3305
0.0008244514465332031,53650,41686,5585,3243
0.0009343624114990234,54321,0,5600,2968
0.0008530616760253906,47607,46326,7114,4008
0.0009205341339111328,0,0,5477,0
0.0007731914520263672,55786,39001,5615,3244
0.0009131431579589844,50293,55053,5539,3137
0.000850677490234375,52734,39184,5508,3259
0.0008254051208496094,60974,40100,5401,3259
0.0008363723754882812,60974,35400,8155,3687
0.0008425712585449219,57251,41382,0,3917
0.0009336471557617188,54932,0,5539,0
0.0008857250213623047,57617,73913,8047,6931
0.0008113384246826172,52551,39673,5753,3259
0.0012006759643554688,51880,80383,5432,6487
0.0013685226440429688,49377,46142,5263,3228
0.0009474754333496094,0,46081,0,3687
0.0008296966552734375,50171,0,5631,0
0.0008304119110107422,0,40405,0,3258
0.0011899471282958984,110473,39856,12470,3258
0.0010211467742919922,105591,43762,11934,3228
0.0008232593536376953,0,43884,5523,3244
0.0008008480072021484,53345,40649,6028,3259
0.0009133815765380859,55175,38391,5707,3259
0.0008671283721923828,56031,40588,7895,3427
0.0007979869842529297,57251,65003,6181,5477
0.0008299350738525391,53405,0,5508,3259
0.0007843971252441406,55664,40344,5737,3259
0.0008478164672851562,63659,41992,5569,3259
