Time,package-0,package-1,dram-0,dram-1
0.0018169879913330078,117248,43274,11965,4055
0.0018305778503417969,91491,103393,4406,11858
0.0019106864929199219,86669,107300,8813,12316
0.002285480499267578,93689,120605,9058,13143
0.001775503158569336,86730,103515,8844,11246
0.001848459243774414,88684,105591,8798,12301
0.0020470619201660156,45410,107116,8783,12439
0.0019154548645019531,87097,103882,8782,12424
0.0018246173858642578,130371,100891,8538,12164
0.001840353012084961,45471,105468,8782,11995
0.0017659664154052734,90698,104004,9103,12286
0.0017611980438232422,43701,99304,4406,12683
0.0017437934875488281,106567,106079,9624,11979
0.001733541488647461,89111,48767,4437,5599
0.0018420219421386719,91003,49683,8843,5753
0.001809835433959961,93689,52551,8890,5967
0.0017442703247070312,84655,51391,8844,5584
0.0017251968383789062,33875,104187,4376,12347
0.0017900466918945312,87951,100525,8813,11857
0.0017812252044677734,90210,98023,8782,11628
0.001989126205444336,90393,100341,8813,18116
0.0017938613891601562,92102,102966,8767,11964
0.0018646717071533203,93994,105224,4391,6104
0.0017554759979248047,94727,119323,8783,11827
0.0018455982208251953,78491,104553,8844,11842
0.0017817020416259766,44922,104614,4406,12562
0.0017995834350585938,106201,108277,8905,12010
0.0018091201782226562,90820,103516,8767,12240
0.001825094223022461,94544,106750,8874,11904
0.0017905235290527344,91248,52551,8782,5798
