Time,package-0,package-1,dram-0,dram-1
0.6650996208190918,36576505,27544057,4248917,2207178
0.6667592525482178,36781339,27693533,4269909,2236324
0.6709270477294922,36984769,27861440,4321210,2230419
0.6730289459228516,37149563,27993764,4296928,2239002
0.6747956275939941,37237942,28075490,4359612,2263252
0.6717288494110107,36957242,28069997,4315748,2248779
0.6752336025238037,37161098,28093983,4322235,2227634
0.6717183589935303,36999905,27973927,4331491,2231689
0.6713652610778809,37040249,27880055,4317752,2234014
0.6731457710266113,37034146,28061085,4314187,2231628
0.6747467517852783,37231961,28370594,4338865,2297968
0.6703481674194336,37021085,27929250,4319527,2241343
0.6733081340789795,37195950,28287648,4316467,2261263
0.67301344871521,37213833,28155079,4324438,2291236
0.6701023578643799,36840603,27925954,4300447,2224666
0.6724145412445068,37040493,28064260,4340243,2247172
0.67330002784729,37137356,27992971,4301167,2234733
0.6749522686004639,37260281,28143117,4338040,2239109
0.6730070114135742,37156826,28014576,4344542,2244204
0.6730237007141113,37141140,28299000,4321179,2284427
0.6723246574401855,37132474,28138844,4347954,2251288
0.6725466251373291,36991605,28181324,4322204,2254363
0.6716561317443848,37041043,28021962,4318211,2227604
0.6717331409454346,37127408,27973317,4334062,2232668
0.6710593700408936,37117703,28026661,4311601,2240165
0.6714320182800293,36929654,27977101,4298306,2228491
0.6722226142883301,37060025,28064015,4325616,2246607
0.6714959144592285,36881741,27978322,4290120,2221698
0.6722795963287354,37095059,27977956,4338666,2233662
0.6694726943969727,36870328,27933461,4289125,2218393
