Time,package-0,package-1,dram-0,dram-1
0.010145187377929688,492186,518859,48609,55202
0.010205268859863281,437072,522154,44217,55202
0.010121583938598633,448363,525206,48562,55156
0.010197877883911133,450927,520323,44278,55034
0.010220050811767578,445067,524656,43942,55141
0.010376214981079102,451781,577818,45349,60725
0.010946035385131836,490477,572936,49357,60787
0.010124444961547852,445006,522764,44125,55202
0.010839462280273438,487975,565916,48669,60756
0.010640859603881836,488341,569639,48700,55157
0.010017871856689453,411193,521849,39765,55172
0.010061264038085938,443358,521238,44172,55202
0.010127067565917969,442504,525389,44217,55187
0.01018381118774414,444823,523741,44783,55096
0.010558366775512695,496032,578184,45150,60710
0.010090827941894531,446410,526427,48592,55294
0.010331869125366211,454283,527525,44293,55080
0.010203123092651367,445250,578551,44324,60634
0.01044917106628418,505858,586791,54759,56182
0.01094675064086914,488464,567991,48531,54728
0.010417938232421875,487548,535338,48685,55141
0.01043391227722168,453185,637633,45150,62393
0.010091543197631836,439086,558958,44186,60756
0.010113239288330078,444457,525817,45196,55324
0.010059118270874023,436279,528197,44248,55141
0.010376453399658203,501097,527647,52112,60863
0.01040792465209961,447081,578185,44248,60695
0.010082244873046875,447142,517271,44110,55172
0.010818958282470703,484679,571837,48654,60817
0.0100555419921875,449523,531187,43942,55172
