Time,package-0,package-1,dram-0,dram-1
0.1841118335723877,8229288,9561438,821840,1045189
0.18312788009643555,8146036,9468238,808422,1025819
0.18105602264404297,8063273,9850743,816453,1042313
0.1798241138458252,8045084,9330299,813914,1017649
0.18540334701538086,8355142,9687719,849594,1058515
0.1793498992919922,8054972,9407020,821090,1025253
0.1800060272216797,7969706,9314246,795936,1009264
0.17904353141784668,8032694,9314979,817280,1017817
0.17955708503723145,7986063,9312415,803327,1013946
0.17861032485961914,8028605,9392066,827654,1013885
0.18027544021606445,8142862,9660375,827914,1028099
0.18075847625732422,8018657,9425208,797864,1012952
0.18148422241210938,8036051,9494788,804275,1019959
0.1808490753173828,7975993,9429968,799088,1013334
0.18160581588745117,8195780,9530494,825970,1033454
0.18174123764038086,8083292,9529822,814450,1023692
0.18271207809448242,8145670,9567664,817127,1028160
0.18144583702087402,7986552,9484167,799578,1019806
0.18311166763305664,8135294,9760717,820677,1036468
0.18206024169921875,8170085,9574072,829688,1035014
0.1828451156616211,8142740,9593176,826338,1036438
0.1846003532409668,8187174,9585425,816638,1032092
0.1822500228881836,8065043,9516699,807366,1026691
0.18169331550598145,8174661,9441871,805224,1014160
0.18434667587280273,8220011,9672094,823507,1043261
0.18311715126037598,8151102,9600012,822589,1038227
0.18341374397277832,8383707,9648535,852409,1045373
0.18291521072387695,8203898,9579199,840031,1041456
0.18411922454833984,8277506,9614843,834845,1039605
0.18326354026794434,8134928,9642126,823982,1035780
