Domain,Energy (micro joules),Duration (s)
package-0,175658,0.005332231521606445
dram-0,36016,0.005332231521606445
package-1,184081,0.005332231521606445
dram-1,22935,0.005332231521606445
nvidia-gpu-0,0,0.005332231521606445
package-0,203063,0.0043566226959228516
dram-0,33691,0.0043566226959228516
package-1,180602,0.0043566226959228516
dram-1,22812,0.0043566226959228516
nvidia-gpu-0,0,0.0043566226959228516
package-0,143860,0.00435185432434082
dram-0,31594,0.00435185432434082
package-1,158202,0.00435185432434082
dram-1,16371,0.00435185432434082
nvidia-gpu-0,0,0.00435185432434082
package-0,234252,0.004437685012817383
dram-0,39596,0.004437685012817383
package-1,209411,0.004437685012817383
dram-1,26225,0.004437685012817383
nvidia-gpu-0,0,0.004437685012817383
package-0,143554,0.004355430603027344
dram-0,31273,0.004355430603027344
package-1,155212,0.004355430603027344
dram-1,19691,0.004355430603027344
nvidia-gpu-0,0,0.004355430603027344
package-0,231201,0.00434422492980957
dram-0,33093,0.00434422492980957
package-1,181946,0.00434422492980957
dram-1,22751,0.00434422492980957
nvidia-gpu-0,0,0.00434422492980957
package-0,178345,0.004335165023803711
dram-0,30692,0.004335165023803711
package-1,105102,0.004335165023803711
dram-1,16141,0.004335165023803711
nvidia-gpu-0,0,0.004335165023803711
package-0,232299,0.004348039627075195
dram-0,38388,0.004348039627075195
package-1,204711,0.004348039627075195
dram-1,22812,0.004348039627075195
nvidia-gpu-0,0,0.004348039627075195
package-0,148010,0.004391193389892578
dram-0,25154,0.004391193389892578
package-1,129395,0.004391193389892578
dram-1,16387,0.004391193389892578
nvidia-gpu-0,0,0.004391193389892578
package-0,230774,0.004428386688232422
dram-0,38924,0.004428386688232422
package-1,181945,0.004428386688232422
dram-1,22782,0.004428386688232422
nvidia-gpu-0,0,0.004428386688232422
package-0,142334,0.004352569580078125
dram-0,23027,0.004352569580078125
package-1,129761,0.004352569580078125
dram-1,19584,0.004352569580078125
nvidia-gpu-0,0,0.004352569580078125
package-0,238037,0.004427671432495117
dram-0,38924,0.004427671432495117
package-1,183471,0.004427671432495117
dram-1,22842,0.004427671432495117
nvidia-gpu-0,0,0.004427671432495117
package-0,177062,0.00435328483581543
dram-0,31166,0.00435328483581543
package-1,130249,0.00435328483581543
dram-1,16004,0.00435328483581543
nvidia-gpu-0,0,0.00435328483581543
package-0,233886,0.0043752193450927734
dram-0,39734,0.0043752193450927734
package-1,211608,0.0043752193450927734
dram-1,26270,0.0043752193450927734
nvidia-gpu-0,0,0.0043752193450927734
package-0,143066,0.004382610321044922
dram-0,30493,0.004382610321044922
package-1,130615,0.004382610321044922
dram-1,16309,0.004382610321044922
nvidia-gpu-0,0,0.004382610321044922
package-0,231261,0.004393100738525391
dram-0,38831,0.004393100738525391
package-1,208496,0.004393100738525391
dram-1,26132,0.004393100738525391
nvidia-gpu-0,0,0.004393100738525391
package-0,168212,0.004363298416137695
dram-0,31212,0.004363298416137695
package-1,132324,0.004363298416137695
dram-1,16248,0.004363298416137695
nvidia-gpu-0,0,0.004363298416137695
package-0,203307,0.004334211349487305
dram-0,40239,0.004334211349487305
package-1,208678,0.004334211349487305
dram-1,26240,0.004334211349487305
nvidia-gpu-0,0,0.004334211349487305
package-0,146911,0.004345417022705078
dram-0,26148,0.004345417022705078
package-1,155395,0.004345417022705078
dram-1,16279,0.004345417022705078
nvidia-gpu-0,0,0.004345417022705078
package-0,232971,0.004372358322143555
dram-0,38663,0.004372358322143555
package-1,206909,0.004372358322143555
dram-1,26225,0.004372358322143555
nvidia-gpu-0,0,0.004372358322143555
