Time,package-0,package-1,dram-0,dram-1
0.0016841888427734375,80810,59082,10573,6609
0.0017504692077636719,89660,58044,12118,6931
0.0017502307891845703,41687,26794,5478,3259
0.0015974044799804688,78247,54260,10511,6518
0.0016827583312988281,46570,70007,5798,7053
0.0018498897552490234,46020,55725,14489,8369
0.001638174057006836,47669,58411,5309,6487
0.0016756057739257812,87769,64453,5141,6625
0.0017142295837402344,81787,57312,10266,6502
0.0016455650329589844,39001,28382,5339,3244
0.0017459392547607422,77698,30152,10496,3244
0.0017275810241699219,90454,58899,10939,6517
0.002010822296142578,49804,60547,11857,6824
0.0017628669738769531,75744,58533,10694,3259
0.0016791820526123047,81482,58654,10481,6793
0.0017473697662353516,80505,59448,10389,3213
0.0019190311431884766,74096,58044,10236,6487
0.0016407966613769531,116210,75439,10832,6885
0.001756429672241211,134826,59082,12087,4697
0.0017707347869873047,86486,82397,11903,6548
0.0017399787902832031,81360,57251,11001,7237
0.0017023086547851562,79468,55359,11720,6778
0.0017352104187011719,80078,61584,10786,6426
0.0016999244689941406,79224,59814,10924,6503
0.0016973018646240234,76415,28381,11047,3244
0.001790761947631836,104492,71228,12515,9134
0.0016603469848632812,38635,48706,5309,6549
0.0017368793487548828,40710,27344,5539,3259
0.0017290115356445312,41138,59449,5355,6487
