Time,package-0,package-1,dram-0,dram-1
0.0004813671112060547,0,0,0,0
0.0004923343658447266,37902,29419,6058,3229
0.0005137920379638672,0,0,0,0
0.0005247592926025391,0,34667,0,3167
0.00044226646423339844,49377,45533,6211,4330
0.0005421638488769531,37598,0,6243,0
0.00049591064453125,0,0,0,0
0.0004968643188476562,37109,28748,6165,3258
0.0005142688751220703,38330,24231,5799,3320
0.00044274330139160156,0,0,0,0
0.0004949569702148438,37597,0,5860,0
0.0004987716674804688,39306,28442,5906,3258
0.0004742145538330078,39123,26428,6303,3274
0.0005235671997070312,0,28931,6120,3259
0.0006072521209716797,0,28931,0,3244
0.0005323886871337891,0,0,0,0
0.00045561790466308594,38086,28747,6289,3259
0.0005004405975341797,37720,28625,6181,3351
0.0004901885986328125,0,31250,0,3718
0.00048828125,41565,31738,6502,4238
0.0006935596466064453,39917,36193,5906,3136
0.0005147457122802734,40161,29724,6319,3228
0.0005025863647460938,0,0,0,0
0.0004649162292480469,0,28686,0,3243
0.00045108795166015625,42419,0,0,0
0.0004696846008300781,0,0,0,0
0.0004565715789794922,0,0,0,0
0.000492095947265625,36987,28381,5998,3244
0.00041675567626953125,47912,30091,6150,3274
0.0005233287811279297,33448,28565,6196,3244
