Time,package-0,package-1,dram-0,dram-1
0.029622316360473633,1290097,889402,142994,100674
0.029872417449951172,1319393,885191,140592,98639
0.030458927154541016,1319089,888426,139689,98532
0.030112743377685547,1327817,895323,151990,102403
0.0302579402923584,1319699,890439,148119,99327
0.030188560485839844,1313229,895445,141662,98976
0.029905080795288086,1317929,853209,139306,94998
0.030187606811523438,1316463,890379,140715,98685
0.030972957611083984,1373348,931150,158202,104851
0.03192615509033203,1413876,967161,161828,109609
0.030266523361206055,1332394,892820,141556,98639
0.029825210571289062,1335141,892209,142458,95120
0.02991461753845215,1330685,894224,141617,98685
0.030214786529541016,1372738,883054,161721,100918
0.03004598617553711,1318295,893125,142290,99542
0.029860973358154297,1312680,864805,142841,95380
0.030052661895751953,1319882,894773,142505,99021
0.030689477920532227,1354184,882017,149068,98899
0.03008294105529785,1326229,892148,148808,99343
0.03002452850341797,1315792,885374,140806,98180
0.03086566925048828,1316830,910703,142458,102204
0.03041553497314453,1350094,882688,146834,98486
0.030605316162109375,1365963,899167,151806,101348
0.03142404556274414,1774715,1256528,159472,106411
0.030650615692138672,1323117,910703,143484,101776
0.02978968620300293,1312497,901487,140531,99083
0.030311107635498047,1297482,881955,142260,98470
0.03013324737548828,1316098,885923,141448,99480
0.030524492263793945,1329525,891783,156152,101179
0.02960944175720215,1317807,859128,134151,95166
