Time,package-0,package-1,dram-0,dram-1
0.0036821365356445312,150695,118957,23731,13250
0.0023729801177978516,122681,60486,17656,6915
0.0025861263275146484,119445,91858,17427,10924
0.0031805038452148438,156921,117370,16600,13342
0.0025403499603271484,90637,62622,15331,7451
0.0025146007537841797,84717,57190,11138,6594
0.003412008285522461,114868,115173,22048,13326
0.0023908615112304688,120239,84289,17458,6503
0.0033180713653564453,123047,83557,17518,10160
0.0022907257080078125,80994,58227,10848,6503
0.0027549266815185547,91674,89294,19140,10526
0.0029599666595458984,120605,89721,16999,10756
0.0023789405822753906,118225,92529,17641,11184
0.004244565963745117,163146,116699,23455,13464
0.002802610397338867,124755,82641,16708,9762
0.0022797584533691406,78857,57190,11016,6487
0.002567291259765625,83008,87769,12041,10235
0.0025548934936523438,126831,85388,18513,10312
0.0025043487548828125,83008,57740,11765,6762
0.0023419857025146484,79468,57312,11093,6502
0.0024080276489257812,84045,83496,11949,10190
0.002538919448852539,117065,84533,17013,9961
0.0026471614837646484,120300,91980,11842,10022
0.002341032028198242,73913,57129,11107,6518
0.0022401809692382812,80017,75988,12393,7757
0.0037953853607177734,164428,122559,24511,14336
0.0023539066314697266,120117,85571,16371,9914
0.0025310516357421875,122253,88256,17657,10113
0.0026073455810546875,79712,55298,11246,6503
0.0031147003173828125,125305,89844,17396,10220
