Time,package-0,package-1,dram-0,dram-1
0.0016362667083740234,82519,58411,11811,6747
0.0008387565612792969,35522,28137,6059,3535
0.0008225440979003906,36011,30518,5722,3259
0.0021097660064697266,76538,60242,11613,6625
0.0008821487426757812,35401,25757,5921,3305
0.0008423328399658203,39734,30578,5691,3321
0.0020885467529296875,83313,60119,12179,7252
0.0008995532989501953,0,28625,5814,3243
0.0008075237274169922,39367,28443,5890,3259
0.0019986629486083984,78796,56824,11613,6702
0.0008370876312255859,37903,27160,5600,3289
0.0008304119110107422,0,32959,0,3213
0.002211332321166992,74951,58410,11475,6503
0.0008504390716552734,0,0,0,0
0.0014979839324951172,38330,27465,5554,3259
0.001997709274291992,73547,65673,11705,6671
0.0007948875427246094,54443,38513,5952,4314
0.0009014606475830078,71472,31128,5936,3350
0.0022382736206054688,114136,82642,17059,6503
0.0008664131164550781,40344,31311,5523,3320
0.0011844635009765625,74341,29663,10848,3259
0.0018706321716308594,37536,58105,6029,6534
0.0007493495941162109,39551,27039,5676,3259
0.0008544921875,39795,29724,6196,3305
0.0019388198852539062,76599,29480,11429,6594
0.0008280277252197266,0,0,0,0
0.0008409023284912109,0,27466,0,3259
0.001912832260131836,79040,59082,11445,6686
0.0008246898651123047,47241,28320,5646,3259
0.0008685588836669922,39795,0,5859,3259
