Time,package-0,package-1,dram-0,dram-1
0.03541707992553711,1595943,1141293,188067,126454
0.03398633003234863,1492184,1012998,157743,112624
0.033891916275024414,1493771,990781,157300,107636
0.03390860557556152,1492366,1022580,157116,111185
0.033835649490356445,1438290,996702,150965,111384
0.03386950492858887,1453061,1012449,156382,110818
0.0338129997253418,1497494,1014340,157253,110956
0.03356289863586426,1478146,1002195,155203,111109
0.03393054008483887,1488277,1000363,150659,111721
0.03721427917480469,1657405,1137510,172538,121650
