Time,package-0,package-1,dram-0,dram-1
0.029345273971557617,1329282,868528,134074,94676
0.02837848663330078,1242429,869382,130540,94661
0.028676748275756836,1270443,831419,134809,92091
0.028786659240722656,1281796,833372,135971,91050
0.028406858444213867,1337643,897520,129622,91815
0.028943300247192383,1284665,861937,135619,94738
0.028925418853759766,1281491,855711,134395,94523
0.02875995635986328,1231076,848570,129193,94769
0.02869391441345215,1271175,848326,134885,94569
0.02877187728881836,1266171,871031,134946,101929
