Time,package-0,package-1,dram-0,dram-1
0.030888080596923828,1460202,901548,171865,104759
0.030943632125854492,1355161,1005063,171085,124099
0.030264616012573242,1314206,917356,140791,102418
0.029719114303588867,1306698,892575,141463,99297
0.03006887435913086,1307126,889097,140653,99175
0.03008270263671875,1337521,951719,162302,112027
0.030046939849853516,1324459,894834,148532,101485
0.03012251853942871,1311093,882811,139551,98118
0.029009580612182617,1272702,856321,134074,94906
0.030370473861694336,1384152,995481,152679,113557
0.030989646911621094,1385434,954709,158584,105799
0.029786109924316406,1537288,1083493,152419,105784
0.030712127685546875,1348569,905454,146712,101715
0.028957128524780273,1225339,854246,136139,95855
0.02961564064025879,1256589,840086,139674,98639
0.030660629272460938,1369138,949948,157345,109915
0.029637575149536133,1263302,847471,133875,94982
0.030127286911010742,1313779,854124,140193,94493
0.029155969619750977,1259884,855039,135359,95365
0.029371976852416992,1275082,856077,135130,96344
0.03048849105834961,1322934,886594,157284,101271
0.030706405639648438,1343930,952512,145778,105738
0.029361963272094727,1272579,861876,136568,100735
0.029010295867919922,1261227,824216,133691,90851
0.029229164123535156,1266171,853574,134671,95395
0.03128623962402344,1364194,915769,159289,103964
0.029072046279907227,1267209,848691,134150,95136
0.029639005661010742,1268125,854307,141143,98930
0.03002619743347168,1304929,875792,140729,98348
0.029555559158325195,1267575,867307,135298,95472
